,x,y,z
0,-9.747164,0.794286,0.970794
1,-9.737358,0.78448,0.970794
2,-9.766776,0.73545,0.990406
3,-9.75697,0.813898,0.990406
4,-9.747164,0.813898,0.970794
5,-9.766776,0.73545,0.970794
6,-9.766776,0.764868,0.970794
7,-9.737358,0.78448,0.970794
8,-9.766776,0.794286,0.960988
9,-9.75697,0.794286,0.960988
10,-9.766776,0.764868,0.9806
11,-9.766776,0.794286,0.951182
12,-9.747164,0.78448,0.970794
13,-9.75697,0.764868,0.9806
14,-9.766776,0.774674,0.970794
15,-9.747164,0.774674,1.000212
16,-9.747164,0.774674,0.990406
17,-9.766776,0.764868,1.000212
18,-9.75697,0.774674,1.000212
19,-9.747164,0.774674,0.9806
20,-9.766776,0.755062,0.9806
21,-9.776582,0.764868,1.000212
22,-9.766776,0.764868,1.000212
23,-9.75697,0.78448,0.9806
24,-9.796194,0.715838,0.990406
25,-9.766776,0.764868,0.990406
26,-9.737358,0.764868,0.970794
27,-9.786388,0.73545,0.990406
28,-9.766776,0.745256,0.990406
29,-9.75697,0.764868,0.970794
30,-9.786388,0.764868,1.010018
31,-9.766776,0.725644,0.9806
32,-9.747164,0.764868,0.960988
33,-9.75697,0.774674,0.9806
34,-9.776582,0.774674,1.010018
35,-9.737358,0.774674,1.000212
36,-9.776582,0.73545,1.000212
37,-9.766776,0.755062,1.000212
38,-9.747164,0.774674,1.000212
39,-9.786388,0.715838,1.010018
40,-9.766776,0.706032,1.039436
41,-9.747164,0.73545,1.019824
42,-9.776582,0.706032,1.010018
43,-9.75697,0.715838,1.068854
44,-9.75697,0.696226,1.049242
45,-9.747164,0.63739,1.019824
46,-9.815806,0.627584,1.049242
47,-9.766776,0.63739,1.108078
48,-9.727552,0.647196,1.108078
49,-9.747164,0.568748,1.137496
50,-9.747164,0.63739,1.147302
51,-9.75697,0.706032,1.17672
52,-9.766776,0.774674,1.137496
53,-9.727552,0.764868,1.147302
54,-9.727552,0.715838,1.12769
55,-9.727552,0.715838,1.12769
56,-9.766776,0.725644,1.22575
57,-9.766776,0.725644,1.206138
58,-9.776582,0.696226,1.186526
59,-9.766776,0.706032,1.17672
60,-9.747164,0.617778,1.117884
61,-9.825612,0.764868,1.039436
62,-9.796194,0.892346,1.02963
63,-9.815806,0.970794,1.039436
64,-9.727552,0.941376,1.049242
65,-9.75697,0.990406,1.019824
66,-9.531432,1.088466,1.108078
67,-9.668716,1.215944,1.284586
68,-9.60988,0.911958,1.12769
69,-9.75697,1.56896,1.9612
70,-8.97249,1.412064,1.804304
71,-8.403742,0.607972,3.62822
72,-9.90406,-1.215944,0.578554
73,-9.21764,0.274568,2.50053
