,x,y,z
0,-9.766776,-0.019612,0.823704
1,-9.815806,-0.058836,0.83351
2,-9.75697,-0.09806,0.862928
3,-9.806,-0.088254,0.862928
4,-9.806,-0.04903,0.843316
5,-9.75697,-0.009806,0.853122
6,-9.815806,-0.029418,0.83351
7,-9.796194,-0.019612,0.83351
8,-9.766776,-0.019612,0.872734
9,-9.786388,-0.029418,0.843316
10,-9.766776,-0.019612,0.853122
11,-9.786388,-0.039224,0.853122
12,-9.786388,-0.039224,0.862928
13,-9.766776,0,0.862928
14,-9.796194,-0.019612,0.853122
15,-9.776582,-0.039224,0.862928
16,-9.796194,-0.009806,0.823704
17,-9.766776,-0.039224,0.872734
18,-9.796194,-0.058836,0.843316
19,-9.786388,-0.029418,0.862928
20,-9.776582,-0.029418,0.872734
21,-9.766776,-0.029418,0.843316
22,-9.776582,-0.04903,0.88254
23,-9.786388,-0.039224,0.88254
24,-9.786388,-0.029418,0.892346
25,-9.786388,-0.009806,0.902152
26,-9.786388,-0.029418,0.902152
27,-9.776582,-0.029418,0.892346
28,-9.776582,-0.009806,0.88254
29,-9.776582,-0.058836,0.902152
30,-9.786388,-0.019612,0.872734
31,-9.75697,0,0.853122
32,-9.786388,-0.009806,0.892346
33,-9.75697,-0.019612,0.902152
34,-9.776582,-0.039224,0.921764
35,-9.776582,-0.019612,0.872734
36,-9.776582,-0.029418,0.872734
37,-9.786388,-0.019612,0.892346
38,-9.776582,0.009806,0.902152
39,-9.776582,-0.019612,0.911958
40,-9.825612,-0.058836,0.872734
41,-9.913866,0.039224,0.843316
42,-9.913866,0.186314,1.098272
43,-9.698134,0.284374,1.068854
44,-9.75697,0.254956,0.607972
45,-9.727552,0.186314,0.902152
46,-9.786388,0.29418,1.206138
47,-9.90406,0.039224,1.304198
48,-9.766776,-0.09806,1.627796
49,-9.727552,0.107866,1.382646
50,-9.874642,0.19612,1.774886
51,-9.080356,0.382434,0.83351
52,-8.315488,0.078448,3.18695
53,-7.913442,0.137284,1.9612
54,-6.383706,-0.500106,2.373052
55,-8.227234,-0.902152,3.72628
56,-9.07055,-1.07866,0.83351
57,-6.501378,-1.255168,5.481554
58,-8.87443,-5.108926,0.303986
59,-9.443178,-6.109138,3.451712
60,-11.649528,-1.980812,3.471324
61,-1.686632,0.93157,-0.225538
62,5.334464,1.755274,12.06138
63,-1.490512,-6.020884,9.747164
64,-0.353016,-6.305258,12.561486
65,2.118096,-2.863352,6.834782
66,1.980812,2.186738,4.353864
67,3.62822,-7.727128,11.992738
68,-10.825824,-8.668504,2.79471
69,-7.344694,-14.395208,7.079932
70,-5.412912,-9.727552,1.490512
71,-4.85397,-17.287978,0.63739
72,-3.53016,-12.94392,2.382858
73,-8.619474,-9.001908,-1.480706
74,-4.80494,-7.619262,3.098696
75,-5.256016,-6.481766,1.42187
76,-5.34427,-11.943708,4.138132
77,-3.77531,-9.502014,1.725856
78,-3.079084,-8.648892,1.902364
79,-3.069278,-9.178416,2.127902
80,-3.23598,-9.933478,0.313792
81,-3.422294,-9.678522,0.205926
82,-3.33404,-9.090162,0.09806
83,-3.53016,-9.07055,-0.313792
84,-3.422294,-9.403954,-0.558942
85,-3.736086,-9.109774,-0.353016
86,-3.696862,-9.148998,-0.333404
87,-3.520354,-9.11958,-0.215732
88,-3.343846,-9.256864,-0.068642
89,-3.265398,-9.158804,0.078448
90,-3.28501,-9.325506,0.254956
91,-2.89277,-9.3157,0.617778
92,-3.118308,-9.21764,0.509912
93,-2.686844,-9.354924,0.823704
94,-2.667232,-9.256864,0.951182
95,-2.559366,-9.256864,1.186526
96,-2.74568,-9.158804,1.137496
97,-2.510336,-9.296088,1.480706
98,-2.35344,-9.001908,1.549348
99,-2.559366,-9.26667,1.676826
100,-2.618202,-9.237252,1.42187
101,-2.559366,-9.335312,1.186526
102,-2.441694,-9.46279,1.353228
103,-2.490724,-9.296088,1.343422
104,-2.392664,-9.148998,1.37284
105,-2.510336,-9.276476,1.578766
106,-2.735874,-9.590268,1.147302
107,-2.4515,-9.099968,1.37284
108,-2.677038,-9.247058,1.392452
109,-2.529948,-9.305894,1.32381
110,-2.54956,-9.482402,1.431676
111,-2.373052,-9.158804,1.843528
112,-2.520142,-9.139192,1.735662
113,-2.608396,-9.345118,1.608184
114,-2.392664,-9.02152,1.86314
115,-2.618202,-9.36473,1.480706
116,-2.882964,-9.276476,1.510124
117,-2.726068,-9.247058,1.12769
118,-2.686844,-9.394148,1.294392
119,-2.755486,-9.080356,1.66702
120,-2.922188,-9.041132,1.480706
121,-2.833934,-9.335312,1.215944
