,x,y,z
0,-9.786388,0.568748,0.774674
1,-9.766776,0.578554,0.794286
2,-9.776582,0.63739,0.804092
3,-9.776582,0.598166,0.823704
4,-9.776582,0.617778,0.804092
5,-9.747164,0.607972,0.83351
6,-9.786388,0.598166,0.823704
7,-9.75697,0.58836,0.804092
8,-9.786388,0.558942,0.83351
9,-9.776582,0.627584,0.823704
10,-9.766776,0.617778,0.813898
11,-9.786388,0.549136,0.804092
12,-9.776582,0.607972,0.83351
13,-9.737358,0.578554,0.83351
14,-9.776582,0.647196,0.853122
15,-9.75697,0.63739,0.83351
16,-9.698134,0.706032,0.892346
17,-9.776582,0.73545,0.911958
18,-9.776582,0.607972,0.892346
19,-9.737358,0.598166,0.813898
20,-9.796194,0.568748,0.745256
21,-9.688328,0.382434,0.568748
22,-9.717746,0.313792,0.617778
23,-9.864836,0.509912,0.63739
24,-9.747164,0.666808,0.725644
25,-9.776582,0.647196,0.83351
26,-9.737358,0.607972,0.676614
27,-9.786388,0.657002,0.725644
28,-9.747164,0.647196,0.813898
29,-9.747164,0.205926,0.68642
30,-9.864836,0.323598,0.578554
31,-9.874642,0.166702,0.470688
32,-9.629492,0.29418,0.353016
33,-10.05115,0,0.372628
34,-9.747164,-0.333404,-0.039224
35,-10.011926,-0.04903,0.186314
36,-9.884448,0.176508,0
37,-10.011926,0.34321,0.362822
38,-9.600074,0.402046,0.166702
39,-9.825612,0.274568,0.29418
40,-9.806,0.029418,0.068642
41,-10.109986,-0.029418,0.14709
42,-9.835418,0.09806,0.264762
43,-9.786388,0.04903,0.264762
44,-9.835418,0,0.235344
45,-9.874642,-0.019612,0.156896
46,-9.913866,0.117672,0.362822
47,-9.825612,0.215732,0.362822
48,-9.864836,0.09806,0.362822
49,-9.815806,0.019612,0.333404
50,-9.864836,-0.04903,0.303986
51,-9.786388,0.09806,0.382434
52,-9.825612,0.176508,0.431464
53,-9.815806,0,0.480494
54,-9.727552,-0.088254,0.598166
55,-9.95309,-0.402046,0.421658
56,-10.24727,-0.519718,0.205926
57,-10.629704,0.4903,0.627584
58,-11.002332,0.725644,1.17672
59,-9.198028,0.058836,2.618202
60,-8.668504,1.402258,4.079296
61,-9.335312,1.657214,3.883176
62,-9.354924,2.098484,3.020248
63,-9.276476,1.264974,4.06949
64,-9.305894,1.196332,2.765292
65,-9.492208,1.186526,2.981024
66,-9.36473,0.372628,2.765292
67,-8.894042,0.088254,1.784692
68,-9.031326,-0.303986,2.333828
69,-8.864624,0.73545,3.245786
70,-8.737146,-0.29418,2.814322
71,-8.48219,-0.647196,2.765292
72,-8.511608,-1.068854,3.13792
73,-9.286282,-0.902152,3.736086
74,-8.835206,-1.42187,4.079296
75,-8.599862,-1.804304,4.000848
76,-11.561274,-0.755062,2.422082
77,-12.983144,4.500954,2.588784
78,-7.20741,1.255168,0.176508
79,-8.070338,0.421658,-0.58836
80,-9.65891,-0.24515,0.921764
81,-10.73757,0.843316,0.509912
82,-9.933478,-0.078448,-0.323598
83,-9.452984,0.58836,0.382434
84,-9.600074,0.63739,0.44127
85,-9.492208,0.127478,0.862928
86,-9.629492,-0.24515,0.470688
87,-10.286494,-0.107866,0.725644
88,-10.433584,-0.107866,0.63739
89,-10.109986,-1.206138,0.93157
90,-11.659334,-0.29418,0.088254
91,-11.267094,1.578766,0.44127
92,-10.73757,2.971218,1.823916
93,-12.620322,3.010442,3.147726
94,-8.648892,1.627796,2.25538
95,-8.511608,-0.402046,1.166914
96,-9.07055,0.009806,2.716262
97,-8.158592,-0.53933,3.265398
98,-5.63845,-1.343422,1.941588
99,-5.216792,-0.764868,2.618202
100,-6.236616,-1.333616,3.539966
101,-11.933902,-3.814534,4.75591
102,-13.463638,-5.58942,5.471748
103,-7.658486,-3.451712,5.8836
104,-8.472384,-0.460882,-0.176508
105,-12.610516,7.099544,5.138344
106,-6.481766,1.804304,-1.353228
107,-9.256864,-1.314004,-1.4709
108,-9.60988,-0.470688,0.607972
109,-9.482402,0.666808,-0.019612
110,-9.65891,-0.411852,0.156896
111,-9.178416,-0.078448,0.500106
