,x,y,z
0,-1.578766,2.981024,9.394148
1,-1.529736,2.971218,9.433372
2,-1.539542,2.99083,9.41376
3,-1.56896,3.010442,9.423566
4,-1.578766,2.971218,9.443178
5,-1.539542,2.951606,9.433372
6,-1.549348,2.961412,9.423566
7,-1.588572,3.010442,9.472596
8,-1.539542,3.000636,9.403954
9,-1.51993,2.961412,9.472596
10,-1.529736,2.902576,9.41376
11,-1.42187,3.000636,9.423566
12,-1.588572,2.9418,9.41376
13,-1.76508,2.99083,9.433372
14,-1.647408,3.049666,9.423566
15,-1.578766,3.020248,9.46279
16,-1.529736,2.9418,9.36473
17,-1.431676,2.89277,9.41376
18,-1.441482,3.010442,9.384342
19,-1.51993,2.951606,9.384342
20,-1.559154,3.000636,9.374536
21,-1.627796,2.961412,9.46279
22,-1.676826,2.902576,9.384342
23,-1.608184,2.961412,9.492208
24,-1.647408,2.971218,9.423566
25,-1.598378,3.010442,9.433372
26,-1.61799,2.961412,9.374536
27,-1.598378,2.9418,9.423566
28,-1.588572,2.882964,9.443178
29,-1.539542,2.902576,9.394148
30,-1.637602,3.030054,9.423566
31,-1.647408,3.010442,9.403954
32,-1.608184,2.971218,9.345118
33,-1.539542,2.971218,9.492208
34,-1.588572,2.931994,9.384342
35,-1.588572,2.931994,9.384342
36,-1.784692,2.84374,9.551044
37,-1.353228,3.03986,9.296088
38,-1.931782,2.833934,9.452984
39,-1.441482,3.010442,9.551044
40,-1.559154,2.9418,9.482402
41,-1.598378,3.000636,9.443178
42,-1.529736,2.873158,9.41376
43,-1.598378,2.902576,9.452984
44,-1.56896,2.971218,9.452984
45,-1.588572,2.971218,9.443178
46,-1.647408,2.912382,9.403954
47,-1.588572,2.961412,9.46279
48,-1.608184,2.912382,9.46279
49,-1.539542,2.9418,9.403954
50,-1.588572,2.912382,9.46279
51,-1.559154,2.931994,9.394148
52,-1.578766,2.951606,9.482402
53,-1.56896,2.951606,9.41376
54,-1.559154,2.951606,9.452984
55,-1.56896,2.961412,9.443178
56,-1.578766,2.9418,9.423566
57,-1.588572,2.922188,9.46279
58,-1.56896,2.931994,9.443178
59,-1.559154,2.922188,9.36473
60,-1.539542,2.961412,9.472596
61,-1.61799,2.931994,9.423566
62,-1.598378,2.882964,9.41376
63,-1.598378,2.902576,9.46279
64,-1.578766,2.971218,9.403954
65,-1.608184,2.961412,9.46279
66,-1.598378,2.9418,9.433372
67,-1.637602,2.912382,9.452984
68,-1.549348,2.9418,9.46279
69,-1.56896,2.931994,9.41376
70,-1.578766,2.951606,9.433372
71,-1.539542,2.922188,9.443178
72,-1.61799,2.9418,9.46279
73,-1.627796,2.873158,9.433372
74,-1.598378,2.931994,9.472596
75,-1.588572,2.735874,9.472596
76,-1.608184,2.628008,9.433372
77,-1.42187,2.4515,9.502014
78,-1.578766,1.980812,9.864836
79,-1.627796,3.13792,12.620322
80,-3.412488,3.520354,13.169458
81,-2.578978,4.128326,12.041768
82,-0.029418,6.923036,10.73757
83,-0.9806,6.158168,10.266882
84,-1.461094,5.020672,9.85503
85,-1.441482,5.677674,8.256652
86,-1.480706,5.030478,8.001696
87,-2.078872,5.24621,6.81517
88,-2.392664,6.020884,4.75591
89,-2.392664,6.020884,4.75591
90,-2.814322,9.247058,0.254956
91,-1.07866,9.080356,3.657638
92,-2.314216,9.737358,2.873158
93,-2.137708,7.805576,3.87337
94,-2.373052,8.894042,3.87337
95,-3.324234,8.835206,3.618414
96,-3.588996,8.491996,3.843952
97,-2.412276,8.746952,3.57919
98,-2.176932,8.845012,3.843952
99,-2.25538,8.92346,3.814534
100,-2.588784,8.952878,4.040072
101,-2.677038,8.609668,3.883176
102,-2.490724,8.72734,3.716474
103,-2.333828,8.933266,3.716474
104,-2.618202,8.72734,3.814534
105,-2.765292,8.746952,3.991042
106,-2.539754,8.746952,3.843952
107,-2.490724,8.756758,3.961624
108,-2.706456,8.717534,3.883176
109,-2.735874,8.570444,3.853758
110,-2.559366,8.864624,3.82434
111,-2.529948,8.746952,3.814534
112,-2.618202,8.737146,3.912594
