,x,y,z
177,-2.265186,9.16861,2.902576
178,-2.382858,9.148998,2.902576
179,-2.35344,9.21764,2.814322
180,-2.294604,9.16861,2.863352
181,-2.274992,9.227446,2.814322
182,-2.333828,9.198028,2.814322
183,-2.225962,9.178416,2.853546
184,-2.235768,9.227446,2.804516
185,-2.30441,9.188222,2.873158
186,-2.225962,9.237252,2.804516
187,-2.245574,9.178416,2.89277
188,-2.25538,9.207834,2.804516
189,-2.274992,9.198028,2.814322
190,-2.25538,9.227446,2.775098
191,-2.235768,9.227446,2.804516
192,-2.284798,9.21764,2.765292
193,-2.274992,9.207834,2.804516
194,-2.314216,9.188222,2.784904
195,-2.216156,9.227446,2.824128
196,-2.294604,9.207834,2.784904
197,-2.216156,9.237252,2.833934
198,-2.294604,9.198028,2.804516
199,-2.216156,9.227446,2.814322
200,-2.30441,9.198028,2.804516
201,-2.314216,9.188222,2.79471
202,-2.225962,9.256864,2.814322
203,-2.30441,9.158804,2.824128
204,-2.245574,9.237252,2.775098
205,-2.294604,9.188222,2.863352
206,-2.216156,9.227446,2.735874
207,-2.225962,9.21764,2.814322
208,-2.284798,9.198028,2.79471
209,-2.343634,9.188222,2.79471
210,-2.274992,9.188222,2.784904
211,-2.245574,9.237252,2.784904
212,-2.274992,9.21764,2.824128
213,-2.274992,9.198028,2.824128
214,-2.245574,9.227446,2.814322
215,-2.265186,9.207834,2.784904
216,-2.225962,9.237252,2.833934
217,-2.324022,9.207834,2.853546
218,-2.235768,9.198028,2.735874
219,-2.294604,9.198028,2.804516
220,-2.265186,9.207834,2.784904
221,-2.265186,9.207834,2.833934
222,-2.265186,9.198028,2.882964
223,-2.265186,9.21764,2.804516
224,-2.274992,9.198028,2.804516
225,-2.25538,9.188222,2.84374
226,-2.20635,9.247058,2.765292
227,-2.373052,9.198028,2.79471
228,-2.235768,9.21764,2.814322
229,-2.314216,9.188222,2.833934
230,-2.25538,9.188222,2.79471
231,-2.30441,9.198028,2.853546
232,-2.30441,9.188222,2.824128
233,-2.314216,9.198028,2.804516
234,-2.25538,9.198028,2.79471
235,-2.284798,9.207834,2.804516
236,-2.294604,9.198028,2.824128
237,-2.265186,9.227446,2.79471
238,-2.265186,9.21764,2.833934
239,-2.235768,9.247058,2.755486
