,x,y,z
0,6.599438,7.295664,-0.176508
1,6.589632,7.276052,-0.14709
2,6.589632,7.30547,-0.156896
3,6.57002,7.315276,-0.166702
4,6.599438,7.295664,-0.166702
5,6.550408,7.295664,-0.186314
6,6.599438,7.315276,-0.137284
7,6.550408,7.315276,-0.156896
8,6.560214,7.276052,-0.186314
9,6.599438,7.295664,-0.166702
10,6.579826,7.30547,-0.205926
11,6.550408,7.325082,-0.176508
12,6.560214,7.295664,-0.176508
13,6.540602,7.276052,-0.205926
14,6.599438,7.276052,-0.215732
15,6.589632,7.295664,-0.186314
16,6.550408,7.325082,-0.176508
17,6.579826,7.30547,-0.156896
18,6.540602,7.276052,-0.235344
19,6.589632,7.315276,-0.186314
20,6.57002,7.30547,-0.205926
21,6.61905,7.325082,-0.176508
22,6.52099,7.285858,-0.186314
23,6.57002,7.266246,-0.205926
24,6.609244,7.295664,-0.137284
25,6.589632,7.25644,-0.19612
26,6.589632,7.276052,-0.176508
27,6.638662,7.276052,-0.186314
28,6.599438,7.276052,-0.166702
29,6.61905,7.276052,-0.186314
30,6.648468,7.295664,-0.186314
31,6.589632,7.25644,-0.14709
32,6.599438,7.276052,-0.156896
33,6.628856,7.315276,-0.078448
34,6.599438,7.236828,-0.166702
35,6.579826,7.315276,-0.088254
36,6.599438,7.285858,-0.156896
37,6.589632,7.295664,-0.156896
38,6.589632,7.276052,-0.156896
39,6.550408,7.344694,-0.127478
40,6.589632,7.276052,-0.117672
41,6.599438,7.315276,-0.127478
42,6.599438,7.325082,-0.088254
43,6.589632,7.295664,-0.117672
44,6.589632,7.315276,-0.127478
45,6.589632,7.295664,-0.156896
46,6.589632,7.30547,-0.166702
47,6.599438,7.295664,-0.14709
48,6.57002,7.295664,-0.156896
49,6.579826,7.325082,-0.09806
50,6.61905,7.30547,-0.029418
51,6.393512,7.197604,-0.254956
52,6.658274,7.315276,0.058836
53,6.550408,7.20741,-0.24515
54,6.638662,7.295664,-0.019612
55,6.57002,7.285858,-0.117672
56,6.57002,7.334888,-0.029418
57,6.530796,7.334888,-0.039224
58,6.52099,7.334888,0.058836
59,6.540602,7.315276,0.04903
60,6.550408,7.285858,-0.068642
61,6.638662,7.246634,0.039224
